id,degree
1657,1
1661,1
1667,3
1669,4
1672,2
1673,1
1681,4
1683,3
1684,3
1686,3
1687,4
1692,3
1696,1
1704,3
1707,3
1708,2
1711,0
1712,1
1716,4
1717,3
1718,1
1720,2
1722,3
1726,4
1727,3
1732,1
1734,4
1736,3
1738,2
1739,0
1742,1
1743,1
1744,2
1745,3
1748,3
1750,1
1752,1
1755,1
1756,3
1762,1
1763,1
1766,3
1770,1
1773,1
1777,1
1778,1
1782,1
1784,4
1785,3
1787,3
1792,3
1795,1
1798,3
1806,1
1808,1
1809,3
1812,1
1818,1
1820,1
1821,1
1822,1
1823,1
1824,3
1826,1
1827,1
1828,1
1829,3
1833,1
1835,4
1837,3
1838,0
1839,1
1840,1
1841,0
1844,2
1845,3
1850,2
1852,3
1853,1
1855,1
1856,1
1857,4
1860,3
1861,2
1864,4
1865,1
1869,1
1872,1
1877,2
1879,1
1881,1
1883,3
1884,3
1887,1
1888,1
1889,3
1891,4
1895,4
1896,3
1899,3
1901,1
1908,3
1910,4
1914,3
1915,1
1917,1
1918,4
1923,4
1924,3
1927,3
1928,1
1930,1
1933,3
1935,2
1936,3
1941,3
1942,4
1944,1
1949,3
1950,3
1954,4
1957,1
1960,3
1961,1
1962,4
1964,1
1970,4
1974,1
1978,1
1980,3
1985,3
1986,3
1988,4
1990,1
1995,1
1996,3
1998,1
1999,1
2000,1
2003,3
2006,2
2008,1
2010,1
2011,1
2019,1
2020,1
2023,1
2025,3
2027,3
2028,1
2029,3
2030,1
2033,4
2034,4
2035,1
2037,1
2038,3
2042,3
2046,1
2049,1
2051,3
2052,1
2053,1
2056,2
2057,1
2058,1
2060,0
2063,1
2064,1
2065,1
2067,1
2068,3
2072,3
2075,1
2076,1
2077,3
2078,1
2080,1
2089,3
2090,0
2093,1
2094,4
2095,1
2097,4
2099,1
2100,2
2103,3
2104,0
2106,3
2108,4
2110,1
2112,2
2118,2
2119,3
2124,4
2125,1
2135,4
2140,3
2142,2
2144,1
2147,1
2151,4
2156,4
2157,1
2158,1
2163,1
2165,1
2170,0
2172,3
2176,1
2177,3
2178,3
2179,1
2182,4
2183,0
2184,2
2185,1
2189,0
2190,1
2194,1
2195,4
2197,2
2200,1
2204,2
2207,4
2209,3
2212,4
2215,4
2219,1
2221,1
2223,1
2229,3
2232,2
2233,3
2234,3
2237,1
2241,1
2246,4
2259,4
2262,4
2264,4
2266,3
2267,3
2268,3
2269,2
2270,3
2273,1
2278,3
2279,1
2290,4
2292,2
2295,1
2304,1
2305,0
2306,2
2309,4
2312,1
2314,4
2317,1
2319,3
2320,4
2321,1
2327,1
2328,3
2330,1
2335,4
2336,1
2342,1
2343,3
2350,1
2351,0
2352,0
2353,1
2355,1
2357,3
2364,3
2367,1
2369,3
2370,4
2377,1
2378,1
2380,1
2381,1
2382,1
2383,4
2386,1
2391,3
2394,1
2396,0
2397,4
2398,3
2399,1
2402,0
2406,2
2407,1
2408,3
2412,1
2417,4
2421,3
2425,1
2426,1
2433,3
2434,3
2435,1
2436,3
2437,3
2441,2
2448,4
2454,1
2460,1
2462,4
2463,3
2466,1
2467,3
2468,3
2470,1
2474,3
2478,4
2480,1
2481,3
2489,2
2494,4
2495,1
2498,4
2501,1
2502,3
2503,3
2504,4
2515,1
2518,2
2520,3
2521,1
2524,3
2526,3
2528,1
2533,1
2536,3
2538,1
2541,3
2543,3
2544,1
2556,4
2557,3
2558,1
2560,3
2561,3
2562,0
2566,1
2567,1
2569,1
2571,3
2575,1
2577,4
2579,3
2581,2
2585,1
2588,3
2594,3
2597,4
2598,3
2599,3
2608,4
2610,1
2614,1
2617,1
2619,1
2620,1
2623,1
2627,1
2629,3
2630,4
2634,1
2635,1
2639,4
2643,1
2646,3
2651,1
2653,1
2655,0
2658,3
2661,1
2664,4
2665,0
2668,1
2669,1
2674,4
2675,4
2676,1
2677,1
2679,1
2684,1
2686,3
2687,3
2688,1
2692,4
2697,3
2701,3
2702,1
2705,3
2709,2
2712,1
2716,2
2717,4
2719,1
2726,3
2729,0
2733,1
2736,0
2737,4
2739,1
2740,1
2741,3
2742,4
2744,2
2746,1
2747,3
2749,4
2752,1
2753,4
2756,2
2757,1
2758,0
2759,4
2761,3
2766,1
2769,1
2771,3
2773,1
2774,3
2775,1
2781,1
2782,3
2783,1
2785,3
2787,4
2791,1
2793,1
2794,3
2799,3
2801,1
2804,3
2806,4
2807,3
2810,2
2811,4
2814,1
2820,1
2822,1
2823,2
2824,4
2827,3
2829,1
2835,3
2836,1
2837,1
2839,2
2843,4
2844,3
2847,3
2849,4
2853,2
2859,1
2860,1
2862,4
2864,3
2867,3
2869,3
2870,4
2872,2
2873,4
2874,4
2875,4
2876,1
2877,1
2880,1
2884,3
2886,3
2889,1
2892,2
2897,2
2901,4
2902,4
2903,1
2908,3
2910,4
2913,0
2918,1
2920,3
2925,1
2927,3
2929,1
2934,1
2941,1
2942,4
2944,4
2945,1
2949,3
2955,1
2959,1
2966,1
2967,1
2970,1
2972,4
2973,1
2978,3
2979,2
2984,3
2985,1
2986,3
2987,1
2988,2
2989,1
2992,1
2994,2
2996,1
2998,1
3001,4
3002,4
3005,3
3009,1
3012,3
3013,1
3019,4
3020,4
3021,1
3023,2
3026,0
3027,0
3028,2
3029,3
3031,3
3033,4
3034,4
3035,2
3036,3
3037,0
3043,3
3047,3
3050,4
3055,1
3057,1
3063,3
3065,1
3067,1
3070,3
3072,3
3073,1
3075,3
3078,1
3083,4
3084,3
3088,1
3090,2
3091,4
3092,3
3094,1
3095,0
3097,2
3100,3
3104,4
3108,3
3114,1
3116,2
3117,4
3119,3
3121,1
3122,1
3125,3
3128,0
3130,1
3131,1
3132,2
3140,1
3141,4
3145,2
3147,3
3149,2
3151,4
3153,4
3154,4
3155,4
3159,2
3161,1
3163,1
3164,4
3166,1
3173,4
3174,1
3180,0
3182,4
3192,1
3195,3
3197,0
3200,3
3201,0
3202,0
3203,4
3204,1
3206,1
3207,1
3213,3
3214,1
3215,3
3216,2
3217,1
3219,4
3221,4
3222,4
3223,2
3224,2
3225,1
3228,4
3229,0
3235,3
3237,1
3238,4
3242,1
3244,3
3246,2
3255,1
3256,1
3257,3
3260,3
3262,1
3265,3
3266,4
3267,4
3269,4
3271,3
3272,4
3274,3
3275,4
3281,3
3284,3
3286,1
3287,1
3289,3
3299,4
3308,3
3314,4
3315,3
3318,3
3321,4
3322,1
3325,1
3326,1
3328,2
3333,3
3335,3
3338,2
3339,1
3344,4
3348,4
3349,3
3351,4
3357,1
3360,3
3361,1
3363,1
3365,4
3368,3
3371,1
3372,3
3373,3
3378,4
3380,1
3382,1
3383,0
3385,3
3392,2
3393,4
3395,2
3398,3
3401,1
3402,1
3408,4
3410,2
3412,3
3413,1
3414,4
3417,1
3421,1
3423,1
3424,1
3425,3
3426,4
3435,1
3438,3
3440,4
3446,1
3447,3
3448,1
3449,4
3455,1
3456,3
3458,1
3465,3
3466,4
3477,1
3481,2
3483,3
3487,3
3488,2
3491,0
3492,4
3493,3
3494,1
3495,4
3497,1
3502,4
3503,2
3505,4
3508,3
3511,4
3512,3
3515,1
3516,3
3520,1
3521,0
3522,1
3525,4
3526,4
3532,2
3533,4
3535,1
3537,2
3544,2
3545,2
3549,3
3551,4
3552,1
3553,0
3554,1
3559,4
3560,2
3561,3
3563,1
3566,4
3571,4
3572,3
3578,4
3579,1
3580,3
3581,4
3583,1
3591,1
3596,1
3600,2
3602,0
3603,3
3604,4
3608,2
3610,1
3612,2
3613,3
3615,1
3616,2
3618,3
3619,1
3623,1
3626,1
3630,2
3632,1
3635,3
3639,1
3641,3
3643,4
3646,3
3649,2
3650,1
3651,3
3652,3
3653,1
3657,3
3658,1
3659,3
3664,3
3667,4
3668,3
3674,1
3677,4
3678,4
3679,4
3680,4
3681,1
3686,1
3688,3
3691,4
3692,4
3694,3
3696,3
3698,2
3700,1
3702,2
3703,1
3708,3
3709,2
3712,3
3721,1
3726,0
3727,1
3728,3
3729,1
3731,3
3735,3
3738,0
3740,1
3741,1
3747,4
3755,1
3756,1
3757,4
3760,3
3761,0
3765,3
3766,1
3768,4
3769,3
3771,3
3777,1
3779,1
3783,3
3788,2
3790,4
3793,3
3795,3
3798,2
3801,1
3806,1
3809,1
3810,4
3812,2
3813,3
3814,1
3819,1
3821,1
3822,1
3824,3
3825,4
3829,1
3843,4
3844,1
3846,1
3848,2
3849,3
3850,1
3852,3
3856,2
3859,3
3864,3
3871,1
3874,1
3875,4
3876,4
3881,1
3892,1
3895,2
3896,4
3902,2
3908,1
3912,3
3915,3
3916,4
3918,3
3920,3
3921,3
3924,1
3925,4
3930,3
3932,4
3934,4
3936,3
3937,1
3943,3
3945,3
3947,4
3950,4
3952,1
3953,4
3955,1
3956,3
3972,1
3977,1
3978,1
3981,1
3982,1
3985,1
3988,3
3992,4
3996,1
3997,1
4001,1
4003,4
4007,4
4013,1
4020,3
4021,3
4026,1
4031,4
4038,1
4039,4
4047,1
4049,1
4052,3
4053,1
4055,3
4056,1
4058,4
4060,4
4061,1
4062,4
4064,3
4069,4
4072,3
4078,1
4082,2
4083,3
4090,3
4093,1
4095,1
4097,0
4098,3
4101,4
4108,3
4109,3
4113,1
4114,0
4116,4
4117,4
4118,1
4122,4
4128,1
4130,4
4135,1
4137,3
4139,3
4143,3
4145,1
4147,1
4148,3
4150,3
4154,4
4157,1
4159,0
4160,1
4164,4
4166,3
4169,4
4172,3
4173,2
4176,3
4179,1
4184,4
4185,4
4187,3
4190,3
4191,4
4193,1
4194,1
4195,1
4201,4
4208,3
4211,2
4215,1
4219,1
4225,1
4228,2
4235,1
4236,3
4237,0
4239,2
4240,1
4242,3
4244,3
4247,1
4249,4
4250,3
4252,2
4257,3
4266,3
4267,3
4268,4
4269,1
4270,3
4271,1
4272,4
4277,1
4280,1
4283,1
4287,3
4288,1
4292,1
4293,3
4295,1
4297,3
4301,3
4303,4
4304,4
4308,4
4309,1
4311,1
4313,1
4314,3
4315,1
4316,1
4319,0
4321,3
4323,3
4324,3
4326,2
4328,3
4333,0
4334,3
4338,3
4341,4
4345,3
4346,2
4347,4
4348,1
4351,3
4352,3
4353,4
4354,4
4355,1
4360,3
4367,1
4368,2
4369,3
4370,1
4373,1
4378,3
4382,0
4389,1
4390,4
4393,3
4395,4
4396,3
4399,1
4402,4
4407,1
4411,3
4414,1
4416,2
4419,3
4428,3
4429,3
4432,3
4437,2
4439,1
4441,1
4442,1
4443,4
4445,4
4450,2
4455,1
4456,1
4457,4
4458,3
4459,3
4460,1
4462,2
4463,3
4467,1
4468,3
4470,4
