id,grnmoney
1612,No
1614,No
1619,No
1621,No
1623,No
1625,No
1627,Yes
1636,No
1639,No
1641,No
1643,No
1647,No
1652,No
1653,No
1655,No
1657,No
1661,No
1667,Yes
1669,Yes
1672,No
1673,No
1681,Yes
1683,No
1684,Yes
1686,No
1687,No
1692,Yes
1696,Yes
1704,No
1707,No
1708,No
1711,No
1712,Yes
1716,Yes
1717,No
1718,No
1720,No
1722,No
1726,Yes
1727,Yes
1732,No
1734,Yes
1736,No
1738,No
1739,No
1742,No
1743,No
1744,No
1745,Yes
1748,No
1750,No
1752,No
1755,Yes
1756,No
1762,No
1763,No
1766,No
1770,No
1773,Yes
1777,No
1778,No
1782,No
1784,Yes
1785,Yes
1787,No
1792,No
1795,No
1798,No
1806,Yes
1808,No
1809,No
1812,Yes
1818,No
1820,No
1821,No
1822,No
1823,No
1824,No
1826,No
1827,No
1828,No
1829,Yes
1833,No
1835,Yes
1837,No
1838,No
1839,Yes
1840,No
1841,No
1844,No
1845,Yes
1850,No
1852,Yes
1853,No
1855,No
1856,Yes
1857,Yes
1860,Yes
1861,No
1864,Yes
1865,No
1869,No
1872,No
1877,No
1879,No
1881,No
1883,No
1884,No
1887,No
1888,No
1889,Yes
1891,Yes
1895,Yes
1896,Yes
1899,Yes
1901,No
1908,Yes
1910,No
1914,No
1915,No
1917,No
1918,No
1923,No
1924,Yes
1927,No
1928,No
1930,No
1933,Yes
1935,Yes
1936,No
1941,No
1942,Yes
1944,Yes
1949,No
1950,No
1954,No
1957,No
1960,No
1961,No
1962,No
1964,Yes
1970,No
1974,No
1978,Yes
1980,No
1985,No
1986,Yes
1988,No
1990,Yes
1995,No
1996,No
1998,No
1999,No
2000,No
2003,No
2006,No
2008,No
2010,No
2011,No
2019,No
2020,No
2023,No
2025,No
2027,No
2028,No
2029,No
2030,No
2033,No
2034,Yes
2035,No
2037,No
2038,No
2042,No
2046,No
2049,Yes
2051,No
2052,No
2053,No
2056,No
2057,No
2058,No
2060,No
2063,No
2064,No
2065,No
2067,No
2068,No
2072,Yes
2075,No
2076,No
2077,No
2078,No
2080,No
